分支,HEAD,落后本地main提交,领先本地main提交,相对共同祖先变化文件数,分类,覆盖或处置方向,工作树,已跟踪改动数,未跟踪条目数,状态
fix/frontend-completion-no-confirmation-20260907,cdfb4991a5d52bd83937c08227fbd5ac8aa25493,0,93,163,主要候选端点,按独有任务整理PR,/private/tmp/frontend-fp06,0,0,候选，须审查
fix/frontend-fp10-pagination-review-20260907,ae474a0bbfc20d0bbe5ad39465e753922baf3625,0,14,65,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp10,0,2,候选，须审查
fix/frontend-fp11-source-flow-20260907,5982bee3892f64accaa14ce6ff2be2145b6ed153,0,18,67,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp11,0,1,候选，须审查
fix/frontend-fp12-ip-rewrite-20260908,ba62202dff4de918d2779b98778dd9f382f4bbd5,0,28,77,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp12,0,1,候选，须审查
fix/frontend-fp13-photo-avatar-20260907,b2dede637ca31a738cb3beffba814d1d7a556a51,0,17,80,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp13,0,2,候选，须审查
fix/frontend-fp14-audio-assets-20260907,b1e878b224fc140103cdb88060d5bfc6e70c071a,0,27,86,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp14,0,1,候选，须审查
fix/frontend-fp15-subtitles-20260907,7a424a3f2590b6c1b192f4f318c465f604420ea4,0,14,78,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp15,0,2,候选，须审查
fix/frontend-fp17-pagination-20260907,c07a0cfbe1ee79e1422215bf9b329e5d19af6fdc,0,24,86,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp17,0,1,候选，须审查
fix/frontend-fp19-previews-20260908,57cfa25baa4c87b9836924bd0fa59f6c1df44c13,0,36,91,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp19,0,1,候选，须审查
fix/frontend-fp20-favorites-20260908,e430e5db9dae21bd3b4fa3e7a3f966543582b0d4,0,21,68,收口分支补丁覆盖,fix/frontend-completion-no-confirmation-20260907（patch-id等价）,/private/tmp/frontend-fp20,0,1,候选，须审查
fix/frontend-fp21-navigation-20260908,232d9e0d8f9f1d43d1f3dbaf2e0d48c4a8fb98e5,0,40,93,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp21,0,1,候选，须审查
fix/frontend-fp22-analytics-20260908,6c3ff6bc0693057540bb954697a864514c9041ea,0,46,99,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp22,0,1,候选，须审查
fix/frontend-fp25-backend-20260908,35a6fe386df6ed4eb4259df63a77ae2912bb4382,0,74,152,收口分支补丁覆盖,fix/frontend-completion-no-confirmation-20260907（patch-id等价）,/private/tmp/frontend-fp25-backend,0,1,候选，须审查
fix/frontend-fp25-frontend-20260908,e852c5c25e79e94013a411487bb0d56d94d35ba6,0,79,156,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp25-frontend,0,1,候选，须审查
fix/frontend-fp26-account-status-20260907,21816fe0d998fd635116fdab3f0c1844188f5e39,0,23,82,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp26,0,2,候选，须审查
fix/frontend-fp30-link-parser-20260908,39f0ede8ef9610cd16be1b987f8584eb02c4d523,0,26,71,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/private/tmp/frontend-fp30,0,1,候选，须审查
fix/material-library-isolation-and-completion,435adbbb14559c968cd16d14fe6fb9ba0f30880a,59,9,40,主要候选端点,按独有任务整理PR,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-素材库联调完成,0,0,候选，须审查
fix/review-findings-20260907,8c83bed5a9bfb856f5cfe5c27ea40f37d96e2cfb,18,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
main,aab50997323f73efb6d63de61ea07005ae0ca4a5,0,0,0,本地集成历史,按任务PR序列回收110提交,,0,0,候选，须审查
ops/deploy-8bd0374-20260902-170141,c89012dfa6868d0c5f19c56cf079fef2be7a3639,128,1,1,档案保留,默认保留；不自动合入产品,,0,0,候选，须审查
