"任务编号","阶段","任务名称","主责角色","前置任务","执行条件","基线判断","工作内容","涉及文件或对象","验收标准","完工标准","必交证据","目标证据层级","记录口径"
"CW-010","W1","锁定账务与各类异步任务恢复基线","后端测试负责人","CW-007、CW-002","必需","H3/独立、口播、图片和文案队列机制不同","分别覆盖 H3/独立生成、口播、图片、分析/改写/ASR的提交、领取、崩溃、超时、未知提交和回写；计费任务锁定 RESERVE/SETTLE/RELEASE，不计费任务与成本记录分开。 所涉及账务与任务恢复基线均为TEST-PG，使用真实PG及独立多连接；外部Provider可以受控替身，数据库不得替代。","server/tests/test_worker_crash_recovery.py；server/tests/test_wallet_billing_service.py；server/tests/test_oral_domain.py；server/tests/test_independent_creation.py；server/tests/test_customer_queue_fairness.py","同一操作重放不新增收费任务；成功只结算一次，已确认未收费失败只释放一次；SUBMISSION_UNCERTAIN 保留核验且不盲重提；断开客户会话不取消已受理云任务；混合任务按冻结策略检查并发和饥饿。 先在真实PG固定现有行为；缺陷场景保存失败日志，后续修复必须在同一可验证增量转绿。","每类任务均有专属用例和允许的替身说明；未用 H3 测试替代其他任务类别，未把 Provider 成本记录等同钱包流水。 数据库基线不得由SQLite、mock持久化或缺PG跳过充当。","任务类别矩阵、状态/账务差额断言、崩溃恢复日志、TEST-PG环境/多连接及失败到通过证据","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-011","W1","锁定唯一客户构建和安装升级契约","桌面测试负责人","CW-003、CW-006","必需","已有双包契约需要修改","增加客户构建图、无 sidecar、API origin失败、凭据路径兼容、旧包升级安全和原生下载的回归合同；保存当前安装配置与客户标识。","server/tests/test_customer_ha_smoke.py；server/tests/test_build_contracts.py；client/src-tauri/；package.json","错误/缺少服务地址导致构建或启动明确失败；契约能识别内部 App/AdminApp 被打入客户制品和本地启动资源残留；旧客户凭据命名空间变更能被测试发现。","新的唯一客户目标合同可复用；旧双包合同的共享断言已识别，尚未删除保护客户的用例。","构建失败基线、安装与凭据合同、制品检查规则","回归基线，收敛后转绿","规划定义；实施状态以V3账本为准"
"CW-012","W2","解除客户工作台对旧入口的类型依赖","前端负责人","CW-008","必需","共享类型和映射位于旧入口文件","将 Studio/LiveWorkspacePanel 所需上下文类型、customerToCurrentUser 等映射迁至已登记的客户公共位置；消除 CustomerWorkspace 反向引用 RootApp 与类型耦合 App。","client/src/App.tsx；client/src/RootApp.tsx；client/src/customer/CustomerWorkspace.tsx；client/src/studio/StudioWorkspace.tsx；client/src/studio/LiveWorkspacePanel.tsx","TypeScript编译通过；客户入口依赖图不再通过类型/映射重新引入内部壳；项目、人物、任务等共用组件仍能挂载，owner和role不变。","共享职责有唯一归属、无为保留旧入口而产生的循环依赖；删除旧 App 的前置条件已记录。","依赖图、类型检查与组件专项","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-013","W2","统一客户入口与路由恢复","前端负责人","CW-012、CW-002","必需","Tauri进客户壳，浏览器仍有内部兜底","将正式客户入口统一至客户状态机，删除普通根路径内部登录兜底；覆盖 /customer、刷新、深链接、历史hash及配对返回；管理入口移交独立管理构建。","client/src/RootApp.tsx；client/src/main.tsx；client/src/customer/customer-state.ts；client/src/customer/CustomerPairingFlow.tsx","客户启动、刷新、后退和深链接不出现内部令牌输入；未认证不发私有业务读写；配对取消与成功返回明确；错误路由不绕过身份验证。","入口矩阵全部通过，正式客户路径均落到同一套状态机；不是仅隐藏内部登录文案。","路由状态矩阵、真实客户入口组件/E2E记录","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-014","W2","落实游客浏览与点击激活的交互规则","产品负责人 + 前端负责人","CW-013、CW-009","条件：CW-002明确保留游客浏览要求","前次有方案，本基线仍整屏激活","若启用游客模式，允许浏览公开壳和功能入口；私有内容读取、自动保存、轮询、上传和生成前统一门禁，保存目标动作；未启用则沿用客户整屏激活。","client/src/RootApp.tsx；client/src/studio/StudioWorkspace.tsx；client/src/studio/LiveWorkspacePanel.tsx；client/src/customer/","网络记录证明游客不请求私有列表、不伪造customer身份；取消留在原页且无写入；激活成功只恢复一次原目标；刷新、深链接和多入口同样受保护。","启用时完整用例通过；不启用时以CW-002决策登记不适用，不能把N/A当作已实现游客功能。","条件决策、网络请求断言、取消/续接E2E","条件启用则AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-015","W2","统一客户 API 地址、凭据和错误恢复","前端负责人","CW-009、CW-012、CW-003","必需","api.ts仍有内部token优先和loopback回退","业务请求统一用客户会话，管理请求保留独立Cookie/CSRF；移除正式客户内部 token/开发身份/localhost后备路径；保留token owner生命周期和401/409/429恢复。","client/src/api.ts；client/src/api.admin.ts；client/src/customer/useCustomerSession.ts；scripts/require_customer_api_base.mjs","缺服务地址、网络断开、会话过期/被替换及429均有确定提示和重试；旧组件卸载不清理新session；直传/下载COS或Provider时不携客户Bearer；敏感凭据不进入Web Storage、日志或前端制品。","所有正式客户业务调用都满足地址/身份合同；错误处理不回退内部身份；相关专项及敏感信息检查通过。","请求头/目标URL断言、生命周期和错误场景日志","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-016","W2","修复客户钱包两个入口与充值接线","前端负责人 + 后端复核","CW-008、CW-009","必需；优先修复","已定位的跨层契约错误，候选分支仍存在","统一 customerAccount/customerWallet 上下文，使使用记录、个人中心和充值入口均使用 CustomerWalletPanel/CustomerRechargeDialog 与客户钱包、客户充值接口。","client/src/customer/CustomerWorkspace.tsx；client/src/studio/LiveWorkspacePanel.tsx；client/src/studio/MainPages.tsx；client/src/api.ts；server/app/wallet_routes.py；server/app/recharge_routes.py","CW-008红灯转绿；两个入口都显示正确余额/计价/流水，无内部定价错误；充值不发POST /api/recharge-orders；过期session、重复点击、未支付、关闭与支付成功刷新均正确；后端拒绝旧客户充值写规则保持。","两个入口端到端同一客户结果一致，禁止通过放开内部费率或权限规避问题；受影响账务/API回归通过。","红绿证据、两入口请求记录、充值与订单状态用例","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-017","W2","整合客户会话、资料和主动退出","前端负责人 + 认证负责人","CW-015、CW-001","必需","logout/余额摘要在候选分支有实现","先整合候选中的退出、余额/资料摘要，再补齐激活、重启恢复、登录冲突、设备配对/切换、解绑和失效界面；明确区分session失效、设备撤销与凭据存储损坏。","client/src/customer/useCustomerSession.ts；client/src/customer/customer-state.ts；client/src/customer/CustomerWorkspace.tsx；client/src/studio/MainPages.tsx","正常升级/重启及保留或可验证恢复身份的重装不新增设备槽；双设备普通登录不静默踢人，显式切换使旧会话写入失效，第三设备拒绝；在线logout成功立即释放服务端session，本地仅清session并保留device credential和device-instance-id；SESSION_EXPIRED/REPLACED同样保留设备凭据，DEVICE_REVOKED清device/session凭据但不把稳定标识当凭据删除；网络或存储失败有明确结果，不把本地退出称为服务端已释放，迟到logout不影响新session；资料/余额与服务端一致。","已发客户登录生命周期和所有支持OS的凭据桥专项通过；候选已完成内容未被重复替换或遗漏。","候选复用记录、session事件×清理材料矩阵、退出故障及设备竞态用例","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-018","W2","保留客户业务页面并修正云端交互","前端负责人 + 产品QA","CW-013、CW-015、CW-016、CW-017","必需","共用旧业务组件仍被新Studio消费","按功能矩阵保留项目/复刻、独立创作、人物/首帧、口播、文案、素材、爆款、任务、钱包和看板；修正要求检查本地服务的文案；未完成发布功能保持诚实状态。","client/src/studio/；client/src/ProjectsPage.tsx；client/src/AnalysisWorkspace.tsx；client/src/ProjectDetailFlow.tsx；client/src/CharacterLibrary.tsx；client/src/TaskRecordsPanel.tsx","每个保留入口的列表→详情→表单→提交→结果/失败→继续操作可达；保留项目/人物/版本/首帧/批次关联；加载、空态、断网重试、取消和迟到响应不串用户/项目；未接通能力不伪装成功。","下文F01—F12功能矩阵的本地/自动化栏逐项取证；新增功能或候选缺口明确进入独立任务，不以架构收敛掩盖。","功能矩阵、页面/网络记录、组件与业务E2E","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-019","W3","分离客户与管理员前端构建制品","前端构建负责人","CW-012、CW-013、CW-011","必需","当前RootApp静态包含内部和管理入口","在现有client内使用登记的客户/管理独立入口和输出，客户依赖图移出AdminApp/内部App/旧钱包；管理静态资源随服务器交付，共用组件和类型继续复用。","client/src/main.tsx；client/src/RootApp.tsx；client/src/AdminApp.tsx；client/vite.config.ts；client/package.json","生产构建依赖图及解包文件均无管理/内部入口；不是用懒加载留管理chunk；管理站点的全部保留页面独立可用；共享API类型无漂移。","两类静态制品归属明确、自动构建可复现；客户包中管理代码排除检查和管理回归通过。","构建依赖清单、产物文件清单/哈希、管理页面测试","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-020","W3","将客户 Tauri 配置变成唯一默认","桌面负责人","CW-019、CW-011","必需","客户配置已存在，默认仍是内部模式","以现有客户identifier、窗口、HTTPS策略和无本地资源配置为基线，收敛默认build/dev/check命令；开发与正式环境可不同，但不再代表两种发行产品。","client/src-tauri/tauri.conf.json；client/src-tauri/tauri.customer.conf.json；client/src-tauri/Cargo.toml；package.json","默认构建就得到客户包，不要求操作者记住:customer；无本地API地址回退；客户identifier、版本链及窗口权限保持；客户WebView正确连接明确的HTTPS后端。","唯一默认配置和命令合同通过；旧配置不再能意外生成内部发行包，文档与脚本一致。","默认命令日志、配置diff、客户构建合同","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-021","W3","移除桌面本地 API/Worker 启动资源","桌面负责人","CW-020、CW-011","必需；仅源码/制品裁剪，不触碰旧安装数据","local-sidecar被特性开关保留","删除BackendProcess、端口探测、启动脚本、退出清理等本地后端链及local-sidecar特性；清理内部后端资源声明，保留窗口、客户凭据和下载桥。","client/src-tauri/src/lib.rs；client/src-tauri/Cargo.toml；client/src-tauri/resources/start-backend.sh；client/src-tauri/resources/start-backend.bat","客户安装包不含server/.venv/Python/FFmpeg后端分发/SQLite业务库/启动脚本；运行不启动本地API或Worker、不监听本地业务端口、不创建业务数据库；文件选择、凭据、下载仍工作。","源码消费者已解除且产物实物检查通过；旧安装和数据实际清理仍受CW-024/CW-039/CW-051约束，不能随代码删除顺手卸载。","依赖搜索、解包检查、进程/端口/文件系统快照","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-022","W3","保持客户凭据与设备身份升级兼容","桌面负责人 + 安全复核","CW-003、CW-020","必需；覆盖CW-002全部支持平台","现有Windows/macOS命名空间必须保护","保留或显式迁移app_data_dir/identifier、customer-credentials.bin、device-instance-id、DPAPI entropy、Windows注册表、macOS Keychain service/account；保留凭据错误恢复。","client/src-tauri/src/customer_credentials.rs；client/src-tauri/tauri.customer.conf.json；client/src/customer/useCustomerSession.ts","逐个旧版本升级、重启及保留或可验证恢复身份的重装后，device_id和slot仍映射原绑定，不新增槽位；新建session时epoch按服务端规则单调变化、不回退，旧会话不能复活；身份材料丢失或撤销时经明确恢复/审计流程处理，不仅凭指纹或激活码挤占槽位；旧密文可读或安全迁移，跨OS用户不可解密他人凭据；损坏/拒绝Keychain访问时提示恢复、不转明文或删除稳定标识冒充新设备；logout/失效/撤销按CW-017清理矩阵执行。","OS原生专项和版本升级样本通过；任何命名空间变化均有迁移/回滚证据，单纯保持应用名不算通过。","各OS凭据测试、升级/重装前后device_id/slot/epoch对照、损坏与撤销恢复、迁移/回滚记录","AUTOMATED_VERIFIED，实机在CW-046复验","规划定义；实施状态以V3账本为准"
"CW-023","W3","保留上传、预览及原生下载完整体验","桌面负责人 + 前端QA","CW-015、CW-020","必需","原生下载属于客户能力","保留文件选择、取消、上传进度、签名预览、保存位置、下载完成与打开目录；保证直链交付不依赖客户端FFmpeg或业务数据库。","client/src/api.ts；client/src-tauri/src/video_downloads.rs；client/src/TaskRecordsPanel.tsx；client/src/studio/ContentPages.tsx","上传/下载成功以实际非空文件与后端结果证明；取消不报告成功且清理临时文件；断网、过期URL、写权限不足、重复点击有确定恢复；对外对象请求无客户Bearer。","每个支持平台的下载桥及失败用例通过，保留用户选择路径和可信完成反馈；不以弹出保存框当作保存成功。","网络请求、文件哈希/大小、取消与失败测试","AUTOMATED_VERIFIED，实机在CW-046复验","规划定义；实施状态以V3账本为准"
"CW-024","W3","建立唯一签名安装包与安全升级流程","发布负责人","CW-021、CW-022、CW-023、CW-003、CW-005","必需；本任务先在隔离测试机演练","旧hook仅识别一个固定卸载路径","完善客户签名制品、升级和卸载规则；在旧内部/旧客户安装样本上验证数据保护、已运行进程检测、卸载失败阻断、安装回滚和版本分发记录。","client/src-tauri/customer-installer-hooks.nsh；client/src-tauri/；.github/workflows/ci.yml；发行与签名流程","所有实际支持的旧安装路径有覆盖；未经已验证归档/迁移不先卸载；失败可恢复旧客户或保留可读数据；凭据不丢、支持版本不重复占设备；未签名包只能标内部测试。","唯一客户制品含版本、平台、签名和SHA记录；升级/卸载运行手册可执行，真实存量数据切换等待CW-051。","签名/哈希、旧包升级矩阵、卸载失败与恢复录像/日志","AUTOMATED_VERIFIED，真实签名实机在CW-046","规划定义；实施状态以V3账本为准"
"CW-025","W4","将所有环境后端固定为 PostgreSQL","后端负责人","CW-007、CW-009、CW-053","必需","PG分支已具备，SQLite回退仍存在","统一API/Worker/开发入口/管理运行的PG配置；退出DB_PATH和sqlite://解析、缺配置本地回退与自动建SQLite；迁移使用单一显式PG入口。开发仅放宽允许的外部替身/环境配置，不放宽数据库类型。","server/app/db.py；server/app/db_pg.py；server/app/db_portable.py；server/app/bootstrap.py；server/app/auth.py；server/app/main.py；server/app/generation_worker.py；package.json","开发与生产模式分别验证有效PG可读写；缺DSN、SQLite URL、DB_PATH（含与PG混配）、PG不可达、错误schema均不得接业务/回落SQLite或创建.db/WAL；API/Worker启动不自动竞争schema；读写进入同环境PG，桌面不获得PG DSN。","PG-01运行入口验收通过；SQL/类型与事务契约由CW-054/055补齐，历史工具由CW-060隔离；最终SQLite在线实现移除须等CW-043覆盖完成。","逐环境启动拒绝矩阵、连接与落库证据、PG配置/角色清单、schema readiness日志","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-026","W4","收敛客户读写认证并保留 fencing","认证负责人 + 独立安全复核","CW-025、CW-009、CW-003、CW-055","必需","不能只改请求入口dependency","统一客户业务读取session验证和写入事务内重验；移除正式运行的内部Bearer、固定桌面身份与开发头旁路；逐路由核对owner、epoch、lease及重放。","server/app/auth.py；server/app/customer_auth.py；server/app/customer_fence.py；server/app/permissions.py；各保留业务路由","有效客户读写成功且仅限本人；两个客户越权、旧内部token、开发身份头、解绑/过期/被替换会话全部失败；入口校验后发生切换的迟到写也不落库；幂等重放不跳过授权。","全部保留客户读写路由完成矩阵核验；安全专项通过且独立复核无未决身份/并发问题。","method-path授权矩阵、PG竞态日志、安全复核","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-027","W4","保留并隔离客户管理后台权限","管理后端负责人","CW-019、CW-026","必需","control仍承担客户运营能力","保留发码、客户、设备恢复、费率、配置、订单、成本、审计和对账；管理统一逐管理员session/CSRF、auditor只读，退出共享代理管理员身份。","server/app/control_auth.py；server/app/control_routes.py；server/app/admin_auth_routes.py；server/app/admin_write_contract.py；server/app/admin_*；client/src/admin/","管理端可完成保留操作且actor/reason可追溯；客户凭据无法管理写，auditor写请求拒绝，缺CSRF或过期admin session拒绝；旧X-Control-Proxy-Token不恢复共享管理员权限。","客户运营功能不丢失，管理网页与客户端制品/身份均隔离；全部管理写路由与审计回归通过。","管理角色矩阵、操作审计、管理E2E","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-028","W4","迁移共享设置工具并审计旧路由消费者","后端负责人","CW-026、CW-027、CW-003","必需","settings_routes内有control直接复用的函数","梳理旧设置/钱包/充值等路由及配置辅助函数消费者；将共用工具移到已登记的现有合适模块，保留客户与管理所需契约；生成可删路由与合法兼容路由清单。","server/app/settings_routes.py；server/app/control_routes.py；server/app/settings.py；server/app/main.py；server/app/wallet_routes.py；server/app/recharge_routes.py","管理Provider配置测试、配置合并等在迁移后结果一致；通用/api/projects等客户路由不因缺customer前缀被删；仍被受支持客户调用的端点可用或明确要求升级，内部专用路由没有遗漏消费者。","每个候选删除端点都有调用证据和替代路径；共享工具只留一份实现；最终取消注册由CW-041执行。","函数/路由消费者清单、合同测试、兼容允许清单","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-029","W4","保全客户钱包、扣费和支付回调","账务负责人 + 独立复核","CW-010、CW-026、CW-016","必需","internal_billing是共享核心","保持internal_billing的预占/结算/释放和历史价格快照；客户续充走专用接口，支付回调继续独立验签与幂等；明确视频DIRECT交付、客户隐藏记录与管理审计的差异。","server/app/internal_billing.py；server/app/generation.py；server/app/oral.py；server/app/payment_routes.py；server/app/recharge_routes.py；server/app/wallet_routes.py","同一支付回调/任务结果重复和乱序到达不重复记账；成功、确认失败、取消、未知提交各自账务正确；余额/冻结/流水逐用户差额为0；拒绝伪造价格、跨用户订单或未验签回调；客户删除记录不抹管理费用证据。","账务与回调自动化零回归且独立复核通过；未改写022等历史迁移，未以客户端显示金额代替服务端裁决。","支付/任务状态矩阵、账务核对报表、复核意见","AUTOMATED_VERIFIED，真实链路在CW-050","规划定义；实施状态以V3账本为准"
