任务ID,任务,用例ID,验收阶段,阻塞层级,验收项,前置/步骤,预期结果,实际结果,证据要求,证据链接,执行人,执行时间,候选SHA
FP-09,盘点历史占位资产并制定修复批次,FP-09-A2,本地自动化/受控浏览器,目标数据源盘点报告完工,修复前确认,生成可执行但未运行的分批处理说明。,包含影响资产、费用上限、备份和回滚；用户按Q02选择后才建立写操作实施任务。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-10,修复爆款加载更多,FP-10-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,超过首屏,装入至少30条爆款，连续滚动或点击更多。,能看到第13条及后续；加载结束有反馈，不重复项。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-10,修复爆款加载更多,FP-10-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,切平台,加载后切抖音/视频号并改变分类搜索。,计数、列表、加载更多状态一致，没有旧平台结果混入。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-11,打通爆款来源到提文案和复刻,FP-11-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,爆款提取,从两个平台各选一条具备合法媒体的受控爆款点击提取文案。,建立正确资产/项目→ASR→原文进入文案工坊；显示来源一致且不是旧稿。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-11,打通爆款来源到提文案和复刻,FP-11-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,爆款复刻,在媒体可用和不可用两种情况下点击复刻。,可用视频进入正确分析项目；失败/音频限定明确提示，不伪造视频项目。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-11,打通爆款来源到提文案和复刻,FP-11-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,重复和切换,连续点击同一来源，再在请求返回前换来源。,不重复付费建任务；旧响应不污染新来源。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-12,让当前IP定位参与文案二创,FP-12-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,IP实际生效,用同一稿件分别选择定位不同的两个人物发起受控改写。,请求包含各自人物定位，结果回到当前草稿；不串项目或串IP。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-12,让当前IP定位参与文案二创,FP-12-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,失败与版本,改写失败后编辑原稿重试，再确认终稿并转口播。,失败不覆盖原稿；终稿版本和口播引用一致。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-13,修复照片到口播分身交接,FP-13-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,点哪张带哪张,从两张不同场景照分别点击制作分身。,目标页源图逐次对应点选照片，并保持人物归属。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-13,修复照片到口播分身交接,FP-13-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,跨人物,已有A人物草稿时从B人物照片进入。,不会沿用A源图、声音或分身；不允许跨账号素材。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-14,完成口播音频上传与完整素材选择,FP-14-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,上传后生成,上传合规完整音频，选择分身并发起AUDIO生成。,请求携带上传完成的audio_asset_id，不需要TTS声音；上传失败不能提交。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-14,完成口播音频上传与完整素材选择,FP-14-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,深页音频,选择不在首屏和预载assets中的云端音频。,可查询、预听、选中并正确提交；无权限音频不可使用。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-14,完成口播音频上传与完整素材选择,FP-14-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,非法样本,分别提交过长、错误格式和用于克隆的不合规样本。,前后端一致拒绝并说明原因；不会误当完整口播音频。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-15,接通口播原生字幕选项,FP-15-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,开关透传,同一稿件分别开/关字幕提交受控任务，检查API与vendor适配请求。,两组参数可区分且语义一致，不再恒发subtitle:null。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-15,接通口播原生字幕选项,FP-15-A2,真实链路（后续授权阶段）,REAL_CHAIN_VERIFIED,实际成片,在FP-38授权的真实验证中分别获取字幕开/关成片。,视频实际效果符合开关；自动化通过只计AUTOMATED_VERIFIED。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-16,明确并实现网感模板,FP-16-A1,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,模板一致性,使用用户确认的标准与网感示例分别选择模板。,交付效果对照冻结样例；不能只改前端标签；未支持效果不得可提交。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-16,明确并实现网感模板,FP-16-A2,本地自动化/受控浏览器,不阻塞本期；纳入后：AUTOMATED_VERIFIED,能力不支持,供应商能力不足或未启用时打开页面。,明确不可用并给合理替代；不恢复视频后期管线或扩大付费能力。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-17,补齐人物、场景和任务历史分页,FP-17-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,跨首屏,准备至少9人、13套场景、21普通批次、21口播任务并翻页查询。,所有被授权记录可达；无重复/漏项；可筛到深页中的记录。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-17,补齐人物、场景和任务历史分页,FP-17-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,边界变化,翻到末页后筛选或隐藏一项，再返回上一页。,页码、total和结果一致；无空白死页；不重复全量加载。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-18,接通客户流水和充值历史分页,FP-18-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,完整历史,用超过20条流水和订单的账户查询历史并翻页。,第21条及更旧数据可见，记录与后台一致；页面条数与total一致。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-18,接通客户流水和充值历史分页,FP-18-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,状态刷新与权限,关闭待支付订单并刷新，再用另一账号查询。,状态更新且页码合理；不能看到其他账号流水。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-19,完善真实缩略图、照片计数与分页呈现,FP-19-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,列表预览,打开包含图片/视频/音频的素材列表，观察首屏和下一页。,图片/视频有真实预览或明确失败状态；音频显示合适媒体态；详情仍可打开。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-19,完善真实缩略图、照片计数与分页呈现,FP-19-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,数量与大列表,打开未访问过详情的人物库及大量分页的素材库。,不把未知显示成0；页码控件有界，网络请求随可见数量而非全库增长。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-20,让爆款收藏按账号持久化,FP-20-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,跨会话,收藏视频→刷新→重新登录→在另一已授权设备查看。,收藏保持，取消后同步；收藏失效来源有明确提示。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-20,让爆款收藏按账号持久化,FP-20-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,隔离与失败,另一账号访问并模拟保存失败、重复点击。,不串收藏；失败不显示已保存；不产生重复记录。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-21,修复结果跳转并恢复详情导航状态,FP-21-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,看板到深页作品,从看板打开不在当前任务列表首屏的普通作品和口播作品。,正确结果页、对象类型和返回位置；不存在或无权限对象显示受控状态。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-21,修复结果跳转并恢复详情导航状态,FP-21-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,导航恢复,在已有有效身份的环境打开详情深链接、前进后退，再刷新管理端子页。,对象/筛选上下文正确恢复，不回错误默认页；认证恢复与导航恢复分别验收。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-21,修复结果跳转并恢复详情导航状态,FP-21-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,旧链接,访问旧projects/characters/wallet别名及未知路由。,旧入口可用、未知路由安全回退，无凭据泄漏。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-22,统一成片统计与口播报表覆盖,FP-22-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,混合数据核对,准备1个含2成片的普通批次及1成功/1失败口播，包含隐藏和跨北京日界记录。,各页面按注明口径与数据库一致；成片与批次不混淆，口播不漏算不重复。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-22,统一成片统计与口播报表覆盖,FP-22-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,刷新,任务完成后进看板或手动刷新，随后模拟聚合失败。,数据与更新时间更新；失败有提示/重试，保留旧数据时标注其时效。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-22,统一成片统计与口播报表覆盖,FP-22-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,权限,用客户、员工、管理员读取相同期间报表。,按各角色可见范围汇总；客户不见他人统计与任务。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-23,修复后台客户上下文及异常记录入口,FP-23-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,切客户,先看A设备→返回客户列表→看B会话并快速切回。,设备、会话、详情始终同一客户，迟到请求不覆盖。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-23,修复后台客户上下文及异常记录入口,FP-23-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,查看异常,从总览失败待办进入记录并打开普通生成/口播错误详情。,带正确过滤条件；可查错误、任务和计费状态；无误导的空处理按钮。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-24,完成客户资料错误、在线状态和退出入口,FP-24-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,错误与离线,资料接口返回500，再断网并等待心跳状态变化。,显示对应错误与重试；不会永久加载或恒显示在线；租约状态以服务端规则为准。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-24,完成客户资料错误、在线状态和退出入口,FP-24-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,退出重登,点击退出并检查当前会话，随后重新登录。,后端会话正确失效，本地会话清理；设备绑定和钱包不被删除。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-24,完成客户资料错误、在线状态和退出入口,FP-24-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,暂不处理,在设备页点击暂不处理再返回。,有可见反馈，待审批请求仍保留，可稍后继续批准。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-25,统一前端角色可操作范围,FP-25-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,审计角色,以auditor逐页尝试写操作与通过地址进入创作详情。,可读数据按权限呈现，写控件不可执行且有原因；无写请求发出。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-25,统一前端角色可操作范围,FP-25-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,后端拒绝,绕过UI向既有写路由发未授权请求，同时测试合法客户。,服务端拒绝未授权写；合法用户功能不受回归影响。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
