任务ID,批次,优先级,任务,当前状态,排期条件,主责/复核,来源缺口,依赖,依赖要求,确认点,正式任务映射,完工标准,验收用例ID,源码范围（审计快照）
FP-10,A 基线与现有流程修复,P1,修复爆款加载更多,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G08,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 接通观察节点或等价加载控件，处理切平台/筛选时的计数和加载状态。
2. 服务端有更多页时按真实分页继续读取，不能只修DOM而仍截断后续内容。",FP-10-A1、FP-10-A2,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx
FP-11,A 基线与现有流程修复,P0,打通爆款来源到提文案和复刻,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G06,FP-01、FP-02、FP-10,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 媒体准备后保存可使用的来源资产/项目关联，分别接入已有ASR与视频分析流程。
2. 区分音频与视频能力；仅有音频时支持转写并说明不可直接视频复刻。更换来源清理不兼容草稿，保留来源追溯和重复点击幂等。",FP-11-A1、FP-11-A2、FP-11-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/viral_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/script_from_audio_routes.py"
FP-12,B 已有能力补齐,P1,让当前IP定位参与文案二创,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G06,FP-11,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 当前文案、选中IP定位和版本进入既有改写请求；保持云端草稿、保存版本、终稿确认机制。
2. 缺来源/缺IP/未保存内容的前置反馈清晰，不再仅打开旧项目列表。更换IP使旧确认失效。",FP-12-A1、FP-12-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/AnalysisWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/script_rewrite.py"
FP-13,A 基线与现有流程修复,P1,修复照片到口播分身交接,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G07,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 点选照片时同时传入源图ID及人物归属，分身页读取同一字段。
2. 切人物清除旧图；无权、已删除或过期资产提供返回重选。",FP-13-A1、FP-13-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx"
FP-14,B 已有能力补齐,P1,完成口播音频上传与完整素材选择,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,U04、G16,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 口播上传按钮复用统一素材上传，含进度/取消/错误/完成；完整云端音频支持服务端搜索/分页选择。
2. 音频样本克隆与完整口播音频按各自格式/时长契约校验，不能只依赖已加载图片资产。",FP-14-A1、FP-14-A2、FP-14-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/material_routes.py"
FP-15,A 基线与现有流程修复,P1,接通口播原生字幕选项,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G09,FP-06,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 字幕状态映射到后端既有subtitle字段和供应商原生字幕参数；关闭时明确关闭。
2. 只接原生字幕，不恢复此前取消的本地视频后期处理；支持范围由既有接口契约验证。",FP-15-A1、FP-15-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/oral_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/oral_worker.py"
FP-16,C 需产品确认的扩展能力,P2,明确并实现网感模板,未开工,待排期，相关子项先确认,前端 / 后端，QA 复核,G09,FP-15,AUTOMATED_VERIFIED,Q03,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. Q03确认模板具体效果及供应商原生支持范围后冻结输入/输出样例。
2. 如本期不做模板，明确关闭/移除可选入口并说明边界；如做，完成参数、后端处理、预览与结果的完整实现。",FP-16-A1、FP-16-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/state.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/oral_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/hifly.py"
FP-17,B 已有能力补齐,P1,补齐人物、场景和任务历史分页,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G14,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 移除8人/12套/各20任务对可访问内容的静默截断，按现有后端分页能力接UI；缺失分页契约只做必要追加。
2. 普通批次与口播有稳定独立标识、查询范围和历史入口；显示全部数量或明确当前加载数量，不能误标。",FP-17-A1、FP-17-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/oral_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/generation_routes.py"
FP-18,B 已有能力补齐,P1,接通客户流水和充值历史分页,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G15,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 透传limit/offset等既有分页字段，额度流水提供完整历史；最近订单保留快捷区并提供完整历史入口。
2. 刷新/充值完成/关闭订单后正确更新当前数据，不修改账务或支付状态判定。",FP-18-A1、FP-18-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/CustomerWalletPanel.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/WalletPanel.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/recharge_routes.py"
FP-19,B 已有能力补齐,P1,完善真实缩略图、照片计数与分页呈现,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G17,FP-17,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 按可见项懒加载真实缩略图或签名地址，处理过期/失败；人物照片数量来自真实计数或显示加载/未知。
2. 避免一次渲染全部页码或为全部历史素材串行签名，复用现有分页/图片能力。",FP-19-A1、FP-19-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/material_routes.py"
FP-20,B 已有能力补齐,P1,让爆款收藏按账号持久化,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,U02,FP-10,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 收藏/取消收藏/收藏列表持久化且按账号隔离，保持platform+nativeID身份稳定。
2. 失败回退前端状态、重复点击幂等；来源下架仍保留可理解记录。新增文件/迁移编号在开工时对齐冻结映射，不先杜撰。",FP-20-A1、FP-20-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/viral_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/viral_store.py"
FP-21,A 基线与现有流程修复,P0,修复结果跳转并恢复详情导航状态,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G05、G21,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 先修task_id/batch_id错误；详情按稳定对象类型和ID加载，不能仅依赖首20条内存数据。
2. 保留原有hash别名与回退；Studio详情、管理端模块/子页支持可恢复地址和前进后退；URL不携带凭据。浏览器客户凭据仍遵循现有内存设计。",FP-21-A1、FP-21-A2、FP-21-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/AnalyticsPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/state.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/AdminApp.tsx"
FP-22,B 已有能力补齐,P1,统一成片统计与口播报表覆盖,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G11、G22,FP-17、FP-21,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 按现有成片任务口径并入口播，明示批次与成片单位，统一成功/失败/排队/隐藏/替代/时间边界，避免直接拼总数重复计算。
2. 沿用已记录的进页读取+手动刷新决策，补齐入口、更新时间和失败重试；不新增20秒双聚合轮询，不伪造外部播放互动数。",FP-22-A1、FP-22-A2、FP-22-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/admin_dashboard_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/control_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/AnalyticsPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/GenerationRecordsPage.tsx"
FP-23,A 基线与现有流程修复,P1,修复后台客户上下文及异常记录入口,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G10、G22,FP-21,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 客户设备/会话/详情共用当前客户上下文，切客户同步更新并清掉旧请求。
2. 异常待办带失败筛选进入对应详情；默认保留后台只读处置边界，动作名称与可做事情一致，不新增代客户付费重试。",FP-23-A1、FP-23-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/CustomersManagementPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/OverviewPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/GenerationRecordsPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/control_routes.py"
FP-24,B 已有能力补齐,P1,完成客户资料错误、在线状态和退出入口,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G18、U06、U09,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 非401资料错误可见且可重试；网络可达与会话租约状态分别表达，移除恒在线假状态。
2. 接入既有logout完整释放/清理机制；暂不处理采用本地收起/返回，不改变为业务拒绝或删除。",FP-24-A1、FP-24-A2、FP-24-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/CustomerWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/CustomerProfilePanel.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/DeviceManagementPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/useCustomerSession.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/RootApp.tsx"
FP-25,B 已有能力补齐,P1,统一前端角色可操作范围,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G19,FP-01、FP-03、FP-14、FP-24,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 复用已有角色与readOnly约束，创建/上传/改写/确认/重试按钮和叶子组件一致。
2. 后端鉴权继续独立执行；前端隐藏/禁用不替代服务端授权，不更改已审核权限模型。",FP-25-A1、FP-25-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/CharacterSelection.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/FirstFrameSelection.tsx"
FP-26,B 已有能力补齐,P1,替换账户概览中的固定业务状态,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,U10、D06、U01,FP-24,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 侧栏积分和账户概览读取现有钱包/资料；保留现有秒=积分映射并标明单位。
2. 未接发布量显示未接入/未知，不能把固定0当查询值；数据失效、失败和真实0区分。
3. 本期检查发布账号页与发布页：明确暂缓/未启用，禁用会产生授权或发布请求的操作，清除固定业务数字；此项不等待C5解冻。",FP-26-A1、FP-26-A2、FP-26-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/CustomerProfilePanel.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx"
FP-27,B 已有能力补齐,P1,补齐口播服务配置与连接检查能力,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,U07、U08,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 复用已加密的设置链增加Hifly配置、掩码、能力状态与可用的只读账户/余额检查；不输出明文密钥。
2. 为每服务区分配置校验、认证/连接可达、能力可用、付费生成验收。没有安全只读测试接口时明确仅配置校验，不能伪称连接成功。",FP-27-A1、FP-27-A2、FP-27-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/SettingsPanel.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/SystemSettingsPage.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/settings.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/settings_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/control_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/hifly.py"
FP-28,C 需产品确认的扩展能力,P2,明确并补齐工作区搜索范围,未开工,待排期，相关子项先确认,前端 / 后端，QA 复核,G20,FP-17、FP-20、FP-21,AUTOMATED_VERIFIED,Q04,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. Q04确认页面/人物快捷搜索或视频/文案/人物/素材跨模块搜索，再实现与提示语一致的能力。
2. 完整搜索需服务端分页和归属过滤，结果带对象类型/ID并跳到正确详情；不默认扩大为全网搜索。",FP-28-A1、FP-28-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/material_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_draft_routes.py"
