"原任务","原名称","核查判定","已有内容","剔除重复开发","剩余内容","V3处理","承接编号","源码依据","其他本地分支"
"CW-010","锁定账务与各类异步任务恢复基线","已有基础，仍有增量","H3 崩溃恢复与客户公平队列已有真实 PG、多 Worker、租约、双领和释放专项；钱包 RESERVE/SETTLE/RELEASE 和口播等类别已有大量行为测试，但主要仍以 tmp_path SQLite 建库。","真实付费 Provider 调用属于 CW-050；本项允许受控 Provider 替身；容量规模与类生产拓扑属于 CW-047。","将钱包、口播、图片、分析/改写/ASR、独立生成逐类迁为 TEST-PG 独立多连接基线；不能以 H3 覆盖替代；补齐每类提交、领取、崩溃、超时、SUBMISSION_UNCERTAIN、回写及状态/账务差额断言；缺 PG 必须非零失败且 0 skip。","代码与测试增量","CW-010","[server/tests/test_worker_crash_recovery.py:283](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_worker_crash_recovery.py:283)；[server/tests/test_customer_queue_fairness.py:369](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_customer_queue_fairness.py:369)；[server/tests/test_wallet_billing_service.py:76](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_wallet_billing_service.py:76)","{""branch"": ""codex/pr95-hardening-20260908"", ""commit"": ""e06806b142e5366d9f7c3c56ff268fc44998a027"", ""path"": ""server/tests/test_oral_domain.py"", ""line"": 1, ""why"": ""该分支新增口播/克隆幂等回归，但未整合且整体分支含大量客户端改动，不能计入基线。"", ""not_baseline"": true, ""baseline_equivalent_present"": false}。"
"CW-011","锁定唯一客户构建和安装升级契约","已有基础，仍有增量","已有客户专用无 sidecar 构建合同、HTTPS origin 拒绝矩阵、identifier/窗口/resources/version 校验；CI 解包检查启动器并记录 SHA；原生下载已有 Rust/前端合同。","复用 scripts/require_customer_api_base.mjs、customer no-sidecar 合同、版本/identifier 断言、CI 解包和哈希记录基础，不重复编写等价工具。","将保护双发行目标的旧断言改成唯一客户默认目标；补 RootApp 静态图排除内部/管理代码、全部本地后端载荷排除、运行时缺地址失败及凭据命名空间/旧版本升级保护合同。","取消独立排程并合并","CW-015、CW-019、CW-020、CW-021、CW-022、CW-023、CW-024、CW-046","[server/tests/test_customer_ha_smoke.py:600](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_customer_ha_smoke.py:600)；[server/tests/test_customer_ha_smoke.py:703](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_customer_ha_smoke.py:703)；[scripts/require_customer_api_base.mjs:44](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/scripts/require_customer_api_base.mjs:44)；[server/tests/test_build_contracts.py:105](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_build_contracts.py:105)；[.github/workflows/ci.yml:207](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:207)","。"
"CW-012","解除客户工作台对旧入口的类型依赖","目标结构尚缺","上下文类型和映射函数已有实现，但仍置于 App/RootApp；客户工作台仍反向导入 customerToCurrentUser。","保留既有上下文字段与 customerToCurrentUser 的 owner/role/display-name 映射行为，剔除从零设计新数据模型。","执行类型与映射的归属迁移，消除 Studio/LiveWorkspacePanel 对 App 的类型依赖和 CustomerWorkspace 对 RootApp 的运行时反向依赖；登记目的文件并校验图。","代码与测试增量","CW-012","[client/src/studio/StudioWorkspace.tsx:9](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/StudioWorkspace.tsx:9)；[client/src/studio/LiveWorkspacePanel.tsx:3](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/LiveWorkspacePanel.tsx:3)；[client/src/customer/CustomerWorkspace.tsx:16](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/CustomerWorkspace.tsx:16)；[client/src/RootApp.tsx:205](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:205)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/customer/CustomerWorkspace.tsx"", ""line"": 304, ""why"": ""候选仍使用 RootApp 映射，不能当成类型拆分完成"", ""count_as_current_completion"": false}。"
"CW-013","统一客户入口与路由恢复","已有基础，仍有增量","Tauri 所有路径及 /customer、/customer/* 已进入客户状态机；激活、登录、冲突、失效、撤销和配对返回壳已有实现与测试；Studio 已监听 hash 路由。","剔除重新实现整套客户状态机与配对壳，复用既有 RootApp/CustomerPairingFlow/customer-state。","普通浏览器根路径仍进入内部 App，/admin 同构建；收敛正式客户入口，补刷新/后退/深链接/历史 hash 与配对返回矩阵，并交接独立管理入口。","代码与测试增量","CW-013","[client/src/RootApp.tsx:33](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:33)；[client/src/RootApp.tsx:42](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:42)；[client/src/RootApp.tsx:64](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:64)；[client/src/studio/StudioWorkspace.tsx:884](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/StudioWorkspace.tsx:884)；[client/src/RootApp.test.tsx:133](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.test.tsx:133)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/RootApp.tsx"", ""line"": 139, ""why"": ""候选增量只有 onLogout，根路由收敛未做"", ""count_as_current_completion"": false}。"
"CW-014","落实游客浏览与点击激活的交互规则","准备或条件判断","当前客户采用整屏激活；客户成功建立身份后才挂载工作台。公开游客壳及目标动作续接未实现；DEV ReviewWorkspace 不等同正式游客产品。","不把 DEV review 示例壳当成已实现游客模式；CW-002 不启用游客时，本项登记 N/A，不再开发。","先依据 CW-002 冻结是否保留游客浏览；仅在启用时新增公开壳、统一私有动作门禁、取消留页和一次续接，并覆盖自动保存/轮询/上传及多入口。","条件实施与验收","CW-014","[client/src/RootApp.tsx:18](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:18)；[client/src/RootApp.tsx:96](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:96)；[client/src/RootApp.tsx:135](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:135)；[client/src/customer/CustomerWorkspace.tsx:230](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/CustomerWorkspace.tsx:230)","。"
"CW-015","统一客户 API 地址、凭据和错误恢复","已有基础，仍有增量","已有客户凭据桥且使用 Symbol owner 防止旧组件卸载清掉新 session；客户 API 已有状态码分类/生命周期事件/Retry-After；管理侧已有 Cookie/CSRF、写幂等；对象下载 credentials:omit，上传只同 API origin 加业务身份。","剔除重做客户 transport、owner 清理、管理 CSRF 和对象不携凭据基础；复用现有相关专项。","移除 workspaceAccessToken 内部 token 优先、正式客户 loopback fallback 与开发身份路径，接入唯一地址来源；按客户构建验证缺地址、断网、过期/替换/429及敏感制品。","代码与测试增量","CW-015","[client/src/api.ts:35](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:35)；[client/src/api.ts:1211](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:1211)；[client/src/api.ts:1227](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:1227)；[client/src/api.ts:4586](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:4586)；[client/src/api.ts:2098](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:2098)；[client/src/api.admin.ts:55](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.admin.ts:55)；[client/src/api.test.ts:2061](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.test.ts:2061)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/customer/useCustomerSession.ts"", ""line"": 163, ""why"": ""候选有心跳代次/迟到结果保护，复用到 CW-017，不需另建心跳层"", ""count_as_current_completion"": false}。"
"CW-016","修复客户钱包两个入口与充值接线","已有基础，仍有增量","CustomerWalletPanel、CustomerRechargeDialog、客户钱包/流水/充值/订单状态 API 与后台客户旧充值写拒绝均已实现；LiveWorkspacePanel 已可在收到 customerWallet 时渲染客户钱包，在 customerAccount 存在时渲染客户资料充值。","剔除从零重做客户钱包面板、二维码充值对话框、客户充值后端与订单查询关闭轮询。","CustomerWorkspace 只传 customerAccount，钱包分支却仅判断 customerWallet，使用记录和个人中心使用记录均落旧 WalletPanel；统一上下文并补两入口真实挂载测试，保留客户费率与后端旧写拒绝。","代码与测试增量","CW-016","[client/src/customer/CustomerWorkspace.tsx:233](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/CustomerWorkspace.tsx:233)；[client/src/studio/LiveWorkspacePanel.tsx:145](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/LiveWorkspacePanel.tsx:145)；[client/src/studio/MainPages.tsx:1395](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/MainPages.tsx:1395)；[client/src/api.ts:1231](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:1231)；[server/app/wallet_routes.py:79](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/wallet_routes.py:79)；[server/app/recharge_routes.py:283](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/recharge_routes.py:283)；[client/src/customer/CustomerWalletPanel.test.tsx:160](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/CustomerWalletPanel.test.tsx:160)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/studio/LiveWorkspacePanel.tsx"", ""line"": 145, ""why"": ""候选仍只用 customerWallet 判钱包分支；不能将候选账号摘要等同两入口修复"", ""count_as_current_completion"": false}。"
"CW-017","整合客户会话、资料和主动退出","已有基础，仍有增量","当前已有 activate/login/conflict/switch/heartbeat/过期替换撤销状态、原生/内存 store、hook 内 server logout 和资料/设备 API。现有客户壳没有传入 logout，个人中心余额仍占位。","剔除重建客户认证状态机、设备列表/配对基本 UI、资料 API 与 hook logout endpoint；整合本地候选的 onLogout 接线、资料/余额摘要与迟到心跳保护。","整合候选后补退出网络/凭据存储失败可见结果、迟到退出不污染新 session、清理事件矩阵；修正空激活码自动恢复的前端代码/测试，与后端完整激活码+原设备指纹恢复合同一致；复验两设备/第三设备及稳定身份。","代码与测试增量","CW-017","[client/src/customer/useCustomerSession.ts:166](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/useCustomerSession.ts:166)；[client/src/RootApp.tsx:139](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:139)；[client/src/customer/useCustomerSession.ts:556](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/useCustomerSession.ts:556)；[client/src/customer/useCustomerSession.ts:322](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/useCustomerSession.ts:322)；[client/src/studio/MainPages.tsx:1387](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/MainPages.tsx:1387)；[client/src/customer/useCustomerSession.test.tsx:144](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/useCustomerSession.test.tsx:144)；[client/src/api.ts:4922](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:4922)；[server/app/activation_code_routes.py:561](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/activation_code_routes.py:561)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/RootApp.tsx"", ""line"": 143, ""why"": ""onLogout 已接线"", ""count_as_current_completion"": false}；{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/customer/CustomerWorkspace.tsx"", ""line"": 314, ""why"": ""传递 logout/profile reload"", ""count_as_current_completion"": false}；{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/customer/useCustomerSession.ts"", ""line"": 594, ""why"": ""候选新增退出并发去重但仍吞掉失败"", ""count_as_current_completion"": false}；{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/studio/MainPages.tsx"", ""line"": 1856, ""why"": ""真实余额摘要与重试可复用"", ""count_as_current_completion"": false}。"
"CW-018","保留客户业务页面并修正云端交互","已有基础，仍有增量","Studio 已有项目复刻、独立视频、口播、人物、文案、素材、爆款、任务、统计、资料路由；live.ts 接真实项目/人物/任务/云草稿/素材 API；共享旧业务组件有大量专项，发布未接入目前明确提示。","剔除重新开发 F01–F12 页面壳、共享项目/人物/分镜/首帧/任务组件和已接业务 API；先复用候选针对分页、来源流转、预览、文案/IP、角色竞态等补丁。","按 F01–F12 复验真实客户场景与关联链；修正 API 仍提示检查本地服务的云端错误；将当前未接视频链接解析、口播音频上传、分页/刷新/迟到请求等范围逐条与本地候选对照，只整合确认有效差额；发布功能继续诚实未接通。","代码与测试增量","CW-018","[client/src/studio/StudioWorkspace.tsx:1741](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/StudioWorkspace.tsx:1741)；[client/src/studio/live.ts:793](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/live.ts:793)；[client/src/studio/live.ts:968](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/live.ts:968)；[client/src/studio/LiveWorkspacePanel.tsx:100](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/LiveWorkspacePanel.tsx:100)；[client/src/studio/MainPages.tsx:288](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/MainPages.tsx:288)；[client/src/studio/CreationPages.tsx:2862](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/CreationPages.tsx:2862)；[client/src/api.ts:2450](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/api.ts:2450)；[client/src/studio/MainPages.tsx:1303](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/MainPages.tsx:1303)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/studio/MainPages.tsx"", ""line"": 1222, ""why"": ""候选任务详情按后端 ID 恢复与 user 保护可复用"", ""count_as_current_completion"": false}；{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/studio/StudioWorkspace.tsx"", ""line"": 258, ""why"": ""候选汇集多项前端修补；整合前需 CW-001 文件/提交选择，不得整支当基线完成"", ""count_as_current_completion"": false}。"
"CW-019","分离客户与管理员前端构建制品","目标结构尚缺","客户/内部/管理 React 页面本身都有实现，但当前 main 仅一个 RootApp，RootApp 静态 import AdminApp 与 App，Vite 没有客户/管理独立入口输出。","剔除重新实现管理页面或客户工作台；保留现成 AdminApp、公共组件和 API 类型。","在已登记路径实施客户/管理独立入口与构建输出；客户生产依赖图彻底排除内部/管理代码而非懒加载隐藏；管理静态资源随服务器部署。","代码与测试增量","CW-019","[client/src/main.tsx:4](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/main.tsx:4)；[client/src/RootApp.tsx:2](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:2)；[client/src/RootApp.tsx:3](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.tsx:3)；[client/vite.config.ts:33](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/vite.config.ts:33)；[client/package.json:7](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/package.json:7)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/RootApp.tsx"", ""line"": 139, ""why"": ""候选仍同 RootApp，仅 session logout 接线不代表产物拆分"", ""count_as_current_completion"": false}。"
