前端文件,行号,函数,方法,路径,结果,后端证据
client/src/api.admin.ts,1192,listCustomerSessions,GET,/api/control/customers/{encodeURIComponent(userId)}/sessions,匹配,server/app/admin_session_routes.py:166
client/src/api.admin.ts,1210,revokeCustomerSession,POST,/api/control/customer-sessions/{encodeURIComponent(sessionId)}/revoke,匹配,server/app/admin_session_routes.py:41
client/src/api.admin.ts,1292,listAuditLog,GET,/api/control/audit-log,匹配,server/app/admin_audit_routes.py:137
client/src/api.admin.ts,1333,getAdminGenerationRecords,GET,/api/control/generation-records,匹配,server/app/control_routes.py:664
client/src/api.admin.ts,1378,createCustomerAdjustment,POST,/api/control/customers/{encodeURIComponent(userId)}/adjustments,匹配,server/app/admin_customer_routes.py:396
client/src/api.admin.ts,1396,fetchQueueMode,GET,/api/control/settings/queue-mode,匹配,server/app/admin_runtime_routes.py:59
client/src/api.admin.ts,1412,updateQueueMode,PATCH,/api/control/settings/queue-mode,匹配,server/app/admin_runtime_routes.py:69
client/src/api.admin.ts,1451,listOperationRates,GET,/api/control/settings/rates,匹配,server/app/admin_rate_routes.py:161
client/src/api.admin.ts,1464,updateOperationRates,PUT,/api/control/settings/rates,匹配,server/app/admin_rate_routes.py:171
client/src/api.admin.ts,1505,listProfitOverview,GET,/api/control/profit/overview,匹配,server/app/admin_profit_routes.py:274
client/src/api.admin.ts,1525,upsertDailyPrice,PUT,/api/control/profit/daily-price,匹配,server/app/admin_profit_routes.py:174
client/src/api.admin.ts,1577,getDashboardSummary,GET,/api/control/dashboard/summary,匹配,server/app/admin_dashboard_routes.py:46
client/src/api.ts,695,getHealth,GET,/health,匹配,server/app/main.py:362
client/src/api.ts,709,getStudioStats,GET,/api/studio/stats,匹配,server/app/studio_routes.py:111
client/src/api.ts,746,getStudioAnalytics,GET,/api/studio/analytics,匹配,server/app/studio_routes.py:285
client/src/api.ts,757,getStudioNotificationPreferences,GET,/api/studio/notification-preferences,匹配,server/app/studio_routes.py:324
client/src/api.ts,766,updateStudioNotificationPreferences,PUT,/api/studio/notification-preferences,匹配,server/app/studio_routes.py:335
client/src/api.ts,814,getStudioDraft,GET,/api/studio/drafts/{encodeURIComponent(kind)},匹配,server/app/studio_draft_routes.py:40
client/src/api.ts,826,saveStudioDraft,PUT,/api/studio/drafts/{encodeURIComponent(kind)},匹配,server/app/studio_draft_routes.py:49
client/src/api.ts,838,deleteStudioDraft,DELETE,/api/studio/drafts/{encodeURIComponent(kind)},匹配,server/app/studio_draft_routes.py:59
client/src/api.ts,849,listStudioSavedScripts,GET,/api/studio/saved-scripts,匹配,server/app/studio_draft_routes.py:69
client/src/api.ts,860,saveStudioSavedScript,POST,/api/studio/saved-scripts,匹配,server/app/studio_draft_routes.py:77
client/src/api.ts,869,deleteStudioSavedScript,DELETE,/api/studio/saved-scripts/{encodeURIComponent(scriptId)},匹配,server/app/studio_draft_routes.py:86
client/src/api.ts,902,createScriptFromAudioTask,POST,/api/projects/{encodeURIComponent(projectId)}/script-from-audio,匹配,server/app/script_from_audio_routes.py:24
client/src/api.ts,919,getLatestScriptFromAudioTask,GET,/api/projects/{encodeURIComponent(projectId)}/script-from-audio-tasks/latest,匹配,server/app/script_from_audio_routes.py:64
client/src/api.ts,928,getOralPrice,GET,/api/oral/price,匹配,server/app/oral_routes.py:115
client/src/api.ts,965,createOralConsent,POST,/api/oral/consents,匹配,server/app/oral_routes.py:133
client/src/api.ts,984,listOralAvatars,GET,/api/oral/avatars,匹配,server/app/oral_routes.py:169
client/src/api.ts,994,listOralVoices,GET,/api/oral/voices,匹配,server/app/oral_routes.py:239
client/src/api.ts,1008,createOralAvatarClone,POST,/api/oral/avatars,匹配,server/app/oral_routes.py:189
client/src/api.ts,1033,createOralVoiceClone,POST,/api/oral/voices,匹配,server/app/oral_routes.py:258
client/src/api.ts,1053,refreshOralAvatar,POST,/api/oral/avatars/{encodeURIComponent(avatarId)}/refresh,匹配,server/app/oral_routes.py:221
client/src/api.ts,1063,refreshOralVoice,POST,/api/oral/voices/{encodeURIComponent(voiceId)}/refresh,匹配,server/app/oral_routes.py:289
client/src/api.ts,1073,confirmOralVoice,POST,/api/oral/voices/{encodeURIComponent(voiceId)}/confirm,匹配,server/app/oral_routes.py:302
client/src/api.ts,1103,createOralTask,POST,/api/oral/tasks,匹配,server/app/oral_routes.py:344
client/src/api.ts,1158,listOralTasks,GET,/api/oral/tasks,匹配,server/app/oral_routes.py:381
client/src/api.ts,1166,mutateOralTask,POST,/api/oral/tasks/{encodeURIComponent(taskId)}/cancel,匹配,server/app/oral_routes.py:450
client/src/api.ts,1166,mutateOralTask,POST,/api/oral/tasks/{encodeURIComponent(taskId)}/retry,匹配,server/app/oral_routes.py:433
client/src/api.ts,1166,mutateOralTask,POST,/api/oral/tasks/{encodeURIComponent(taskId)}/archive-retry,匹配,server/app/oral_routes.py:416
client/src/api.ts,1185,getCurrentUser,GET,/api/auth/me,匹配,server/app/rbac_routes.py:392
client/src/api.ts,1231,getWallet,GET,/api/wallet,匹配,server/app/wallet_routes.py:48
client/src/api.ts,1245,listWalletTransactions,GET,/api/wallet/transactions,匹配,server/app/wallet_routes.py:91
client/src/api.ts,1257,createRechargeOrder,POST,/api/recharge-orders,匹配,server/app/recharge_routes.py:263
client/src/api.ts,1271,listRechargeOrders,GET,/api/recharge-orders,匹配,server/app/recharge_routes.py:987
client/src/api.ts,1283,getRechargeOrder,GET,/api/recharge-orders/{encodeURIComponent(orderNo)},匹配,server/app/recharge_routes.py:1020
client/src/api.ts,1296,getControlAccounts,GET,/api/control/accounts,匹配,server/app/control_routes.py:484
client/src/api.ts,1321,getControlRechargeOrders,GET,/api/control/recharge-orders,匹配,server/app/control_routes.py:534
client/src/api.ts,1334,getControlWalletTransactions,GET,/api/control/wallet-transactions,匹配,server/app/control_routes.py:593
client/src/api.ts,1344,getControlReconciliation,GET,/api/control/billing-reconciliation,匹配,server/app/control_routes.py:1034
client/src/api.ts,1351,getControlSettings,GET,/api/control/settings,匹配,server/app/control_routes.py:1083
client/src/api.ts,1388,updateControlZPaySettings,PATCH,/api/control/settings/zpay,匹配,server/app/control_routes.py:1180
client/src/api.ts,1400,updateControlBillingSettings,PATCH,/api/control/settings/billing,匹配,server/app/control_routes.py:1210
client/src/api.ts,1411,updateControlProviderSettings,PUT,/api/control/settings/providers/{provider},匹配,server/app/control_routes.py:1098
client/src/api.ts,1421,testControlProviderConnection,POST,/api/control/settings/providers/{provider}/connection-test,匹配,server/app/control_routes.py:1135
client/src/api.ts,1432,updateControlRuntimeSettings,PATCH,/api/control/settings/runtime,匹配,server/app/control_routes.py:1150
client/src/api.ts,1445,syncControlRechargeOrder,POST,/api/control/recharge-orders/{encodeURIComponent(orderNo)}/sync,匹配,server/app/payment_routes.py:104
client/src/api.ts,1473,downloadCustomersCsv,GET,/api/control/customers.csv,匹配,server/app/admin_customer_routes.py:960
client/src/api.ts,1480,downloadControlRechargeOrdersCsv,GET,/api/control/recharge-orders.csv,匹配,server/app/control_routes.py:1240
client/src/api.ts,1487,downloadControlWalletTransactionsCsv,GET,/api/control/wallet-transactions.csv,匹配,server/app/control_routes.py:1299
client/src/api.ts,1497,createScriptVersion,POST,/api/projects/{encodeURIComponent(projectId)}/scripts,匹配,server/app/generation_routes.py:139
client/src/api.ts,1507,getLatestScriptVersion,GET,/api/projects/{encodeURIComponent(projectId)}/scripts/latest,匹配,server/app/generation_routes.py:295
client/src/api.ts,1517,compileGenerationPrompt,POST,/api/projects/{encodeURIComponent(projectId)}/prompts/compile,匹配,server/app/generation_routes.py:309
client/src/api.ts,1528,reviseGenerationPrompt,POST,/api/projects/{encodeURIComponent(projectId)}/prompts/revise,匹配,server/app/generation_routes.py:335
client/src/api.ts,1539,saveGenerationPrompt,POST,/api/projects/{encodeURIComponent(projectId)}/saved-prompts,匹配,server/app/generation_routes.py:351
client/src/api.ts,1549,listSavedGenerationPrompts,GET,/api/projects/{encodeURIComponent(projectId)}/saved-prompts,匹配,server/app/generation_routes.py:367
client/src/api.ts,1560,applySavedGenerationPrompt,POST,/api/projects/{encodeURIComponent(projectId)}/saved-prompts/{encodeURIComponent(savedPromptId)}/apply,匹配,server/app/generation_routes.py:378
client/src/api.ts,1590,previewGenerationPrompt,POST,/api/projects/{encodeURIComponent(projectId)}/prompts/preview,匹配,server/app/generation_routes.py:320
client/src/api.ts,1621,getLatestGenerationPrompt,GET,/api/projects/{encodeURIComponent(projectId)}/prompts/latest,匹配,server/app/generation_routes.py:399
client/src/api.ts,1631,lockGenerationPrompt,POST,/api/projects/{encodeURIComponent(projectId)}/prompts/{encodeURIComponent(promptVersionId)}/lock,匹配,server/app/generation_routes.py:413
client/src/api.ts,1639,getGenerationRuntimeLimits,GET,/api/generation/runtime-limits,匹配,server/app/generation_routes.py:616
client/src/api.ts,1655,getGenerationPriceQuote,GET,/api/generation/price-quote,匹配,server/app/generation_routes.py:624
client/src/api.ts,1686,getIndependentCapabilities,GET,/api/independent/capabilities,匹配,server/app/independent_routes.py:25
client/src/api.ts,1710,createIndependentVideoTask,POST,/api/independent/video-tasks,匹配,server/app/independent_routes.py:31
client/src/api.ts,1731,listUserSavedPrompts,GET,/api/studio/saved-prompts,匹配,server/app/studio_routes.py:378
client/src/api.ts,1742,createGenerationBatch,POST,/api/projects/{encodeURIComponent(projectId)}/generation-batches,匹配,server/app/generation_routes.py:432
client/src/api.ts,1752,getGenerationBatch,GET,/api/generation-batches/{encodeURIComponent(batchId)},匹配,server/app/generation_routes.py:479
client/src/api.ts,1762,regenerateGenerationBatch,POST,/api/generation-batches/{encodeURIComponent(batchId)}/regenerate,匹配,server/app/generation_routes.py:573
client/src/api.ts,1773,renameGenerationBatch,PATCH,/api/generation-batches/{encodeURIComponent(batchId)}/name,匹配,server/app/generation_routes.py:497
client/src/api.ts,1781,deleteGenerationBatch,DELETE,/api/generation-batches/{encodeURIComponent(batchId)},匹配,server/app/generation_routes.py:512
client/src/api.ts,1813,listGenerationBatches,GET,/api/generation-batches,匹配,server/app/generation_routes.py:456
client/src/api.ts,1823,retryGenerationTask,POST,/api/generation-tasks/{encodeURIComponent(taskId)}/retry,匹配,server/app/generation_routes.py:707
client/src/api.ts,1834,regenerateGenerationTask,POST,/api/generation-tasks/{encodeURIComponent(taskId)}/regenerate,匹配,server/app/generation_routes.py:734
client/src/api.ts,1845,confirmGenerationTaskNotCharged,POST,/api/generation-tasks/{encodeURIComponent(taskId)}/confirm-not-charged,匹配,server/app/generation_routes.py:772
client/src/api.ts,1855,getGenerationResultDownloadUrl,POST,/api/assets/{encodeURIComponent(assetId)}/download-url,匹配,server/app/rbac_routes.py:901
client/src/api.ts,1883,createGenerationTaskPreviewUrl,GET,/api/generation-tasks/{encodeURIComponent(taskId)}/preview-url,匹配,server/app/generation_routes.py:660
client/src/api.ts,2116,reconcileUncertainTask,POST,/api/generation-tasks/{encodeURIComponent(taskId)}/reconcile,匹配,server/app/generation_routes.py:811
client/src/api.ts,2125,cancelGenerationBatch,POST,/api/generation-batches/{encodeURIComponent(batchId)}/cancel,匹配,server/app/generation_routes.py:488
client/src/api.ts,2140,getGenerationReconcileOperation,GET,/api/generation-reconcile-operations/{encodeURIComponent(operationId)},匹配,server/app/generation_routes.py:851
client/src/api.ts,2149,getLatestGenerationReconcileOperation,GET,/api/generation-tasks/{encodeURIComponent(taskId)}/reconcile/latest,匹配,server/app/generation_routes.py:871
client/src/api.ts,2197,listProjects,GET,/api/projects,匹配,server/app/rbac_routes.py:455
client/src/api.ts,2201,createProject,POST,/api/projects,匹配,server/app/rbac_routes.py:591
client/src/api.ts,2209,deleteProject,DELETE,/api/projects/{encodeURIComponent(projectId)},匹配,server/app/rbac_routes.py:693
client/src/api.ts,2222,renameProject,PATCH,/api/projects/{encodeURIComponent(projectId)}/name,匹配,server/app/rbac_routes.py:643
client/src/api.ts,2234,createVideoUploadIntent,POST,/api/assets/upload-intent,匹配,server/app/media_routes.py:410
client/src/api.ts,2301,listMaterials,GET,/api/studio/materials,匹配,server/app/material_routes.py:43
client/src/api.ts,2310,resolveMaterials,POST,/api/studio/materials/resolve,匹配,server/app/material_routes.py:64
client/src/api.ts,2322,createMaterialUploadIntent,POST,/api/studio/materials/upload-intent,匹配,server/app/material_routes.py:73
client/src/api.ts,2350,completeMaterialUpload,POST,/api/studio/materials/uploads/{encodeURIComponent(assetId)}/complete,匹配,server/app/material_routes.py:132
client/src/api.ts,2362,updateMaterial,PATCH,/api/studio/materials/{encodeURIComponent(materialId)},匹配,server/app/material_routes.py:151
client/src/api.ts,2370,hideMaterial,DELETE,/api/studio/materials/{encodeURIComponent(materialId)},匹配,server/app/material_routes.py:166
client/src/api.ts,2469,listPersonIdentities,GET,/api/person-identities,匹配,server/app/character_identity_routes.py:194
client/src/api.ts,2480,createPersonIdentity,POST,/api/person-identities,匹配,server/app/character_identity_routes.py:202
client/src/api.ts,2492,createIdentityUploadIntent,POST,/api/person-identities/{encodeURIComponent(identityId)}/authorization-upload-intent,匹配,server/app/character_identity_routes.py:268
client/src/api.ts,2492,createIdentityUploadIntent,POST,/api/person-identities/{encodeURIComponent(identityId)}/source-upload-intent,匹配,server/app/character_identity_routes.py:309
client/src/api.ts,2510,completeIdentityAuthorizationUpload,POST,/api/person-identities/{encodeURIComponent(identityId)}/authorization-upload-complete,匹配,server/app/character_identity_routes.py:289
client/src/api.ts,2522,completeIdentitySourceUpload,POST,/api/person-identities/{encodeURIComponent(identityId)}/source-upload-complete,匹配,server/app/character_identity_routes.py:330
client/src/api.ts,2533,listCharacterPersonas,GET,/api/person-identities/{encodeURIComponent(identityId)}/personas,匹配,server/app/character_identity_routes.py:352
client/src/api.ts,2543,createCharacterPersona,POST,/api/person-identities/{encodeURIComponent(identityId)}/personas,匹配,server/app/character_identity_routes.py:364
client/src/api.ts,2554,updateCharacterPersona,PATCH,/api/character-personas/{encodeURIComponent(personaId)},匹配,server/app/character_identity_routes.py:392
client/src/api.ts,2564,listCharacterVersions,GET,/api/character-personas/{encodeURIComponent(personaId)}/versions,匹配,server/app/character_identity_routes.py:420
client/src/api.ts,2574,createCharacterVersion,POST,/api/character-personas/{encodeURIComponent(personaId)}/versions,匹配,server/app/character_identity_routes.py:432
client/src/api.ts,2584,listCharacterGenerationTasks,GET,/api/character-versions/{encodeURIComponent(versionId)}/generation-tasks,匹配,server/app/character_generation_routes.py:80
client/src/api.ts,2593,listCharacterAssets,GET,/api/character-versions/{encodeURIComponent(versionId)}/assets,匹配,server/app/character_generation_routes.py:96
client/src/api.ts,2607,generateCharacterAssets,POST,/api/character-versions/{encodeURIComponent(versionId)}/generate-assets,匹配,server/app/character_generation_routes.py:59
client/src/api.ts,2619,regenerateCharacterAsset,POST,/api/character-assets/{encodeURIComponent(characterAssetId)}/regenerate,匹配,server/app/character_generation_routes.py:169
client/src/api.ts,2635,reviewCharacterAsset,POST,/api/character-assets/{encodeURIComponent(characterAssetId)}/review,匹配,server/app/character_generation_routes.py:112
client/src/api.ts,2653,publishCharacterVersion,POST,/api/character-versions/{encodeURIComponent(versionId)}/publish,匹配,server/app/character_generation_routes.py:149
client/src/api.ts,2667,completeVideoUpload,POST,/api/assets/{encodeURIComponent(assetId)}/complete,匹配,server/app/media_routes.py:453
client/src/api.ts,2684,startVideoAnalysis,POST,/api/projects/{encodeURIComponent(projectId)}/analysis-tasks,匹配,server/app/analysis_routes.py:353
client/src/api.ts,2700,getAnalysisTask,GET,/api/analysis-tasks/{encodeURIComponent(taskId)},匹配,server/app/analysis_routes.py:401
client/src/api.ts,2742,getLatestProjectAnalysis,GET,/api/projects/{encodeURIComponent(projectId)}/analysis/latest,匹配,server/app/analysis_routes.py:454
client/src/api.ts,2751,getLatestProjectShotCards,GET,/api/projects/{encodeURIComponent(projectId)}/shot-cards/latest,匹配,server/app/analysis_routes.py:480
client/src/api.ts,2769,saveShotCards,PUT,/api/analysis/{encodeURIComponent(analysisId)}/shots,匹配,server/app/analysis_routes.py:503
client/src/api.ts,2779,listProjectCharacters,GET,/api/characters,匹配,server/app/character_routes.py:117
client/src/api.ts,2788,listProjectCharacterVersions,GET,/api/projects/{encodeURIComponent(projectId)}/character-versions/available,匹配,server/app/character_routes.py:134
client/src/api.ts,2837,rewriteProjectScript,POST,/api/projects/{encodeURIComponent(projectId)}/script-rewrite,匹配,server/app/generation_routes.py:150
client/src/api.ts,2854,getScriptRewriteTask,GET,/api/script-rewrite-tasks/{encodeURIComponent(taskId)},匹配,server/app/generation_routes.py:172
client/src/api.ts,2868,getLatestScriptRewriteTask,GET,/api/projects/{encodeURIComponent(projectId)}/script-rewrite-tasks/latest,匹配,server/app/generation_routes.py:191
client/src/api.ts,3026,uploadSimpleCharacter,POST,/api/simple-characters/tasks/{encodeURIComponent(projectId)}/generate,匹配,server/app/simple_character_routes.py:325
client/src/api.ts,3027,uploadSimpleCharacter,POST,/api/simple-characters/tasks/generate,匹配,server/app/simple_character_routes.py:301
client/src/api.ts,3045,renamePersonIdentity,PATCH,/api/simple-characters/identities/{encodeURIComponent(identityId)}/name,匹配,server/app/simple_character_routes.py:505
client/src/api.ts,3062,updateSimpleCharacterProfile,PATCH,/api/simple-characters/identities/{encodeURIComponent(identityId)}/profile,匹配,server/app/simple_character_routes.py:521
client/src/api.ts,3076,deleteSimpleCharacterIdentity,DELETE,/api/simple-characters/identities/{encodeURIComponent(identityId)},匹配,server/app/simple_character_routes.py:697
client/src/api.ts,3119,regenerateContactSheet,POST,/api/simple-characters/identities/{encodeURIComponent(identityId)}/regenerate-contact-sheet-task,匹配,server/app/simple_character_routes.py:627
client/src/api.ts,3134,getCharacterSheetTask,GET,/api/simple-characters/task-status/{encodeURIComponent(taskId)},匹配,server/app/simple_character_routes.py:677
client/src/api.ts,3141,getLatestCharacterSheetTask,GET,/api/simple-characters/tasks/active-or-latest,匹配,server/app/simple_character_routes.py:688
client/src/api.ts,3150,getLatestSceneLookTask,GET,/api/simple-characters/identities/{encodeURIComponent(identityId)}/scene-looks/tasks/active-or-latest,匹配,server/app/simple_character_routes.py:489
client/src/api.ts,3195,listSimpleCharacterLibrary,GET,/api/simple-characters/library,匹配,server/app/simple_character_routes.py:350
client/src/api.ts,3204,listCharacterSceneLooks,GET,/api/simple-characters/identities/{encodeURIComponent(identityId)}/scene-looks,匹配,server/app/simple_character_routes.py:382
client/src/api.ts,3218,createCharacterSceneLook,POST,/api/simple-characters/identities/{encodeURIComponent(identityId)}/scene-looks/tasks/generate,匹配,server/app/simple_character_routes.py:414
client/src/api.ts,3260,getProjectMainCharacter,GET,/api/projects/{encodeURIComponent(projectId)}/main-character,匹配,server/app/character_routes.py:89
client/src/api.ts,3277,chooseProjectMainCharacter,PUT,/api/projects/{encodeURIComponent(projectId)}/main-character,匹配,server/app/character_routes.py:243
client/src/api.ts,3288,chooseProjectMainCharacterVersion,PUT,/api/projects/{encodeURIComponent(projectId)}/main-character,匹配,server/app/character_routes.py:243
client/src/api.ts,3301,getLatestProjectSourceFrames,GET,/api/projects/{encodeURIComponent(projectId)}/source-frames/latest,匹配,server/app/source_frame_routes.py:196
client/src/api.ts,3318,getLatestProjectSourceFrameSelection,GET,/api/projects/{encodeURIComponent(projectId)}/source-frames/selection/latest,匹配,server/app/source_frame_routes.py:230
client/src/api.ts,3343,extractSourceFrames,POST,/api/projects/{encodeURIComponent(projectId)}/source-frames/extract,匹配,server/app/source_frame_routes.py:107
client/src/api.ts,3360,getSourceFrameTask,GET,/api/source-frame-tasks/{encodeURIComponent(taskId)},匹配,server/app/source_frame_routes.py:131
client/src/api.ts,3369,cancelSourceFrameTask,POST,/api/source-frame-tasks/{encodeURIComponent(taskId)}/cancel,匹配,server/app/source_frame_routes.py:159
client/src/api.ts,3380,getLatestProjectSourceFrameTask,GET,/api/projects/{encodeURIComponent(projectId)}/source-frame-tasks/latest,匹配,server/app/source_frame_routes.py:172
client/src/api.ts,3431,confirmSourceFrame,POST,/api/projects/{encodeURIComponent(projectId)}/source-frames/confirm,匹配,server/app/source_frame_routes.py:209
client/src/api.ts,3447,getCharacterReferenceRecommendation,GET,/api/projects/{encodeURIComponent(projectId)}/character-reference-recommendation,匹配,server/app/character_reference_routes.py:26
client/src/api.ts,3456,getLatestCharacterReferenceSelection,GET,/api/projects/{encodeURIComponent(projectId)}/character-reference-selection/latest,匹配,server/app/character_reference_routes.py:63
client/src/api.ts,3473,selectCharacterReferences,POST,/api/projects/{encodeURIComponent(projectId)}/character-reference-selection,匹配,server/app/character_reference_routes.py:42
client/src/api.ts,3486,getLatestProjectFirstFrames,GET,/api/projects/{encodeURIComponent(projectId)}/first-frames/latest,匹配,server/app/first_frame_routes.py:366
client/src/api.ts,3509,getProjectFirstFrameHistory,GET,/api/projects/{encodeURIComponent(projectId)}/first-frames/history,匹配,server/app/first_frame_routes.py:386
client/src/api.ts,3521,getLatestProjectFirstFrameSelection,GET,/api/projects/{encodeURIComponent(projectId)}/first-frames/selection/latest,匹配,server/app/first_frame_routes.py:425
client/src/api.ts,3546,generateFirstFrames,POST,/api/projects/{encodeURIComponent(projectId)}/first-frame-tasks,匹配,server/app/first_frame_routes.py:300
client/src/api.ts,3581,getFirstFrameTask,GET,/api/first-frame-tasks/{encodeURIComponent(taskId)},匹配,server/app/first_frame_routes.py:327
client/src/api.ts,3590,getLatestFirstFrameTask,GET,/api/projects/{encodeURIComponent(projectId)}/first-frame-tasks/active-or-latest,匹配,server/app/first_frame_routes.py:347
client/src/api.ts,3653,confirmFirstFrame,POST,/api/projects/{encodeURIComponent(projectId)}/first-frames/confirm,匹配,server/app/first_frame_routes.py:407
client/src/api.ts,3669,getAssetDownloadUrl,POST,/api/assets/{encodeURIComponent(assetId)}/download-url,匹配,server/app/rbac_routes.py:901
client/src/api.ts,3680,getCachedCharacterAssetUrl,POST,/api/assets/{encodeURIComponent(assetId)}/cached-url,匹配,server/app/rbac_routes.py:961
client/src/api.ts,3881,getSettings,GET,/api/admin/settings,匹配,server/app/settings_routes.py:263
client/src/api.ts,3891,updateProviderSettings,PUT,/api/admin/settings/providers/{provider},匹配,server/app/settings_routes.py:276
client/src/api.ts,3901,updateRuntimeSettings,PATCH,/api/admin/settings/runtime,匹配,server/app/settings_routes.py:324
client/src/api.ts,3909,runSettingsDiagnostic,POST,/api/admin/settings/diagnostic-test,匹配,server/app/settings_routes.py:418
client/src/api.ts,3920,testProviderConnection,POST,/api/admin/settings/providers/{provider}/connection-test,匹配,server/app/settings_routes.py:394
client/src/api.ts,4895,customerActivate,POST,/api/customer/activate,匹配,server/app/activation_code_routes.py:801
client/src/api.ts,4965,customerLogin,POST,/api/customer/sessions/login,匹配,server/app/customer_session_routes.py:729
client/src/api.ts,4978,customerSwitch,POST,/api/customer/sessions/switch,匹配,server/app/customer_session_routes.py:751
client/src/api.ts,4989,customerHeartbeat,POST,/api/customer/sessions/heartbeat,匹配,server/app/customer_session_routes.py:782
client/src/api.ts,5000,customerLogout,POST,/api/customer/sessions/logout,匹配,server/app/customer_session_routes.py:830
client/src/api.ts,5013,customerListDevices,GET,/api/customer/devices,匹配,server/app/customer_device_routes.py:434
client/src/api.ts,5027,customerUnbindDevice,DELETE,/api/customer/devices/{encodeURIComponent(deviceId)},匹配,server/app/customer_device_routes.py:517
client/src/api.ts,5064,customerEnrollDevice,POST,/api/customer/devices/enroll,匹配,server/app/customer_device_routes.py:980
