编号,问题或类型,证据/验收条件
G11,Studio 统计、后台总览/生成记录未完整纳入口播,[server/app/studio_routes.py:72](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_routes.py:72)、[server/app/studio_routes.py:207](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_routes.py:207)；[server/app/admin_dashboard_routes.py:49](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/admin_dashboard_routes.py:49)；[server/app/control_routes.py:741](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/control_routes.py:741)。任务中心合并 oral，报表却只统计 generation 等旧任务，造成页面数字不一致。
G12,参考图选择不限媒体类型/4 张数量,[client/src/studio/StudioWorkspace.tsx:1280](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:1280)、[client/src/studio/StudioWorkspace.tsx:1374](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:1374)；[client/src/studio/CreationPages.tsx:1529](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:1529)；[server/app/independent.py:50](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/independent.py:50)、[server/app/independent.py:127](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/independent.py:127)。前端能选、提交后后端才拒绝。
G13,报价未就绪仍可确认提交；复刻直接建批,[client/src/studio/StudioWorkspace.tsx:1084](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:1084)、[client/src/studio/StudioWorkspace.tsx:1104](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:1104)；[client/src/studio/CreationPages.tsx:578](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:578)。应在报价成功后提供一致的费用确认；此项不等于后端没有计费。
G14,人物/场景/任务存在静默截断,[client/src/studio/live.ts:75](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:75)、[client/src/studio/live.ts:457](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:457)、[client/src/studio/live.ts:579](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:579)、[client/src/studio/live.ts:666](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:666)、[client/src/studio/live.ts:1011](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:1011)。8 人、12 套场景、各 20 条任务；新页筛选不是全部历史。
G15,客户流水/订单分页未接 UI,[client/src/api.ts:5183](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts:5183)；[server/app/recharge_routes.py:880](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/recharge_routes.py:880)、[server/app/recharge_routes.py:935](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/recharge_routes.py:935)。服务端支持分页，前端默认拿 20 条，额度流水缺全部历史。
G16,云端音频选择不完整,[client/src/studio/StudioWorkspace.tsx:1273](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:1273) 只筛已加载 assets；素材预载仅 60 张图片（[client/src/studio/live.ts:832](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:832)）。从素材选择不等于全库音频可选。
G17,素材卡片缺预览，人物照片数先显示 0,[client/src/studio/live.ts:101](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:101) 未提供素材 URL/poster，详情才签名；[client/src/studio/live.ts:324](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:324) 初始化 photoIds=[]。不是伪造数据列表，但展示未体现真实加载状态。
G18,客户资料错误反馈、设备在线状态不足,[client/src/customer/CustomerWorkspace.tsx:65](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/CustomerWorkspace.tsx:65) 非 401 读取错误没有反馈；[client/src/customer/CustomerProfilePanel.tsx:355](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/CustomerProfilePanel.tsx:355) 固定 isOnline=true。
G19,新创作页未统一应用只读角色约束,[client/src/studio/CreationPages.tsx:1074](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:1074) 等未传 readOnly；后端仍有权限守卫。属于界面可操作范围与角色不一致，不是已证明的服务端越权。
G20,完整搜索和通知投递未实现,搜索提示视频/文案/人物/素材，但实际仅页面名与已加载人物（[client/src/studio/StudioWorkspace.tsx:854](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:854)、[client/src/studio/StudioWorkspace.tsx:1131](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:1131)）。通知 enabled 只保存/读取于 [server/app/studio_routes.py:305](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/studio_routes.py:305)，未发现消费它进行公告/任务推送的完整服务。
G21,详情地址和浏览器历史恢复不足,Studio hash 只有页面、不含选中 ID，`createState` 不恢复 selectedTaskId/selectedPersonId（[client/src/studio/state.ts:64](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/state.ts:64)）；后台纯 state 导航。详情刷新/复制地址不能恢复具体对象，菜单点击本身已有实现。
G22,看板刷新与后台“处理”入口不足,20 秒轮询只刷 stats/tasks，不刷 analytics7/30（[client/src/studio/StudioWorkspace.tsx:464](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:464)）；后台失败待办只到无详情/重试的记录列表（[client/src/admin/OverviewPage.tsx:139](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/OverviewPage.tsx:139)）。
U01,发布账号授权/正式发布/自定义封面,[client/src/studio/MainPages.tsx:1146](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx:1146)、[client/src/studio/ContentPages.tsx:1674](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:1674)、[client/src/studio/ContentPages.tsx:1763](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:1763)：禁用或空态，没有完整发布后端闭环。
U02,发布草稿与收藏,[client/src/studio/ContentPages.tsx:1543](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:1543)、[client/src/studio/ContentPages.tsx:369](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:369)：仅 React 会话状态，刷新会丢失，没有对应业务持久化。文案工坊云端草稿是另一条已实现能力，不能混淆。
U03,工作台粘贴链接解析,[client/src/studio/MainPages.tsx:194](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx:194)：仅提示；有 douyidou 配置表单不代表解析业务已实现。
U04,口播页上传音频,[client/src/studio/CreationPages.tsx:1769](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:1769)：仅提示，没有文件选择和上传调用。已有素材 AUDIO 生成是已接后端的另一项。
U05,实收收入/利润,[client/src/admin/ProfitOverview.tsx:400](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/ProfitOverview.tsx:400)：明确 disabled，当前标准售价核算不能替代实际收入口径。
U06,客户主动退出登录,[client/src/customer/useCustomerSession.ts:556](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/useCustomerSession.ts:556) 和 [server/app/customer_session_routes.py:830](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/customer_session_routes.py:830) 有 logout，[client/src/RootApp.tsx:139](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/RootApp.tsx:139) 未传到 UI。
U07,Hifly 口播供应商配置,[server/app/settings.py:15](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/settings.py:15) 已支持，[client/src/SettingsPanel.tsx:41](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/SettingsPanel.tsx:41) 和 [client/src/SettingsPanel.tsx:91](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/SettingsPanel.tsx:91) 的实际配置表单没有入口。
U08,非 COS 的真实连接测试,[server/app/settings_routes.py:88](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/settings_routes.py:88)、[server/app/settings_routes.py:113](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/settings_routes.py:113)、[server/app/settings_routes.py:231](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/settings_routes.py:231)：6 项走 NoopProviderTester，只返回 configured_only；COS 才做实际存取测试。前端已区分提示，不是假报连通，但真测试能力未齐。
U09,设备页“暂不处理”,[client/src/customer/CustomerProfilePanel.tsx:342](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/customer/CustomerProfilePanel.tsx:342)：回调为空，点击无反馈。应补本地收起/返回语义，不必强行新增拒绝 API。
U10,积分/发布量等概览,[client/src/studio/StudioWorkspace.tsx:915](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:915)、[client/src/studio/MainPages.tsx:328](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx:328)、[client/src/studio/MainPages.tsx:1230](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx:1230)：正式侧栏积分“—”、发布量“—”、余额说明文本；真实钱包另有入口。
D01,DEV/测试样例,[client/src/RootApp.tsx:18](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/RootApp.tsx:18) 仅 DEV 懒加载 review；[client/src/studio/StudioWorkspace.tsx:190](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:190) 要求 DEV 且显式 reviewData；fixtures 与 REVIEW_SAMPLE_SHOTS 不会由正式请求失败自动启用。它们合理隔离，不应简单要求删除全部测试数据。
D02,**真实主图→占位切片**,[server/app/simple_character.py:2606](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:2606) 接收真实主图；[server/app/simple_character.py:2010](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:2010) 的裁切只支持可解码 PNG，JPG/WebP 等返回 None；[server/app/simple_character.py:329](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:329) / [server/app/simple_character.py:2335](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:2335) 改用 deterministic_png 生成标准视角切片。切片元数据 view_content_source=local_placeholder（[server/app/simple_character.py:2380](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:2380)），仍能 APPROVED/PUBLISHED（[server/app/simple_character.py:2393](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:2393) / [server/app/simple_character.py:2544](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:2544)）。**主图可以是真实的，但切片是占位。**
D03,来源标记没有完整展示,D02 人物版本 generation_source 仍沿用主图来源（[server/app/simple_character.py:2529](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py:2529)）；旧 UI 只检查主来源（[client/src/CharacterLibrary.tsx:623](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/CharacterLibrary.tsx:623)），Studio 转换还丢弃该字段（[client/src/studio/live.ts:324](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:324)）。不能只看卡片无“占位”字样便断定所有人物资产真实。
D04,内部模式 Fake Provider,非客户生产模式缺 Apilio 配置时，[server/app/analysis_routes.py:81](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/analysis_routes.py:81) 返回 FakeGemini、[server/app/first_frame_routes.py:139](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/first_frame_routes.py:139) 返回 FakeImageProvider；客户生产模式对应情况会 503。不是生产默认必然造假，但“所有运行模式没有模拟”不成立。
D05,显式模拟视频开关,[client/src/api.ts:1660](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts:1660) 默认 metaso，显式 VITE_GENERATION_PROVIDER=fake_h3 时切模拟。当前应用实际配置/运行模式本次未读取验证。
D06,固定业务状态/占位数字,发布“待发布 0 / 已发布 0”（[client/src/studio/ContentPages.tsx:1578](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:1578)）；设备在线恒 true；部分卡片为“—”。前者不是查询返回的真实计数，后者代表未接或未知，不应称完成。
