编号,页面项或动作,前端实际处理,后端对应与完成情况,客户影响与补齐点
C16,用于数字人口播,confirmed 且 ipId 存在时导航 oral,真正 POST /oral/tasks 在口播页执行,能携带共享文稿；跳转按钮不校验云保存、文本长度、人物仍有效，后续要再校验。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 324–329
C17,我的文案空态,saved.length=0 就显示无文案,读失败被 catch 成 [],缺少“读取失败”与“真的没有”区别，以及重试入口。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 298–301；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 197–200
C18,文案条目标题/Vn/状态,展示 script 字段,saved-script 不持久化 confirmed；重载映射为 false,同一篇在本次会话可显示已确认，重登变草稿；需说明“重用需重新确认”，不能冒充历史终稿状态。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/live.ts:935 966–981
C19,点击文案条目,只替换 script,后端已返回 ip_id/source_project_id/source_kind，但前端映射舍弃,不切编辑页，也不恢复来源上下文；高优先级修复文本与项目串用。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 187；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/live.ts:935 984–1003
C20,自动保存,patchDraft 后 2 秒防抖,PUT drafts/copy；revision 服务端递增,正常链已实现；关闭会清除未执行定时器，没有关闭前 flush/持久本地兜底；无稳定保存状态。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 233–315
C21,启动恢复,获取云草稿，再取我的文案,GET draft、GET saved-scripts,已实现；手动 patch 后不覆盖是优点；但草稿读取失败会使列表读取也不执行，错误静默。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 296–309
C22,修改后需重新确认提示,固定提示＋patch 撤销确认,无须单独后端,正确的基础规则；来源仅变 sourceId 时未覆盖此规则。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/state.ts:76 130–165
C23,终稿同步项目,publishScriptVersion 读最新镜头卡后创建 script,项目访问/最新版本/stale 校验均有,后端拒绝旧镜头卡合理；问题在工坊把“确认口播稿”与“适配分镜脚本”混为一个软同步动作。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/live.ts:935 1006–1024；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/generation.py:1062 1062–1139
C24,删除文案/放弃草稿,当前工坊无入口,DELETE draft 与 DELETE saved-script 路由已实现,后端有、前端未接。应决定是否开放，避免再造接口。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_draft_routes.py:40 59–92
C25,历史版本、比较、回滚,无,saved-scripts 同 ID 覆盖，不保留旧行内容,未实现，不能把 Vn 标签当历史版本能力。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_drafts.py:127 208–271
C26,文案搜索/翻页/排序,当前文案列表无此功能,后端固定按 created_at 倒序 LIMIT 50,第 51 条以后无法通过该列表查到；覆盖更新不改变 created_at，旧稿新改也不置顶。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_drafts.py:127 191–205、244
C27,改写/提取进度、失败重试与任务恢复,工坊无独立任务区,两类后端任务有状态与读取接口,任务存在不等于客户可发现、恢复；旧改写工作区恢复能力未迁移到 CopyPage。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/useGenerationDrafts.ts:412；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/generation_routes.py:139；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/script_from_audio_routes.py:25
